text,true_emotion,predicted_emotion
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
@LeonWobYP b***er off. NCFC is a grudge match :),anger,joy
@DJ_JeanFranko growl!!!,anger,anger
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,joy
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
"Honestly, there are some awful people on the internet... smh...",fear,anger
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,fear,joy
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,joy
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,anger
Not the best horror ever but I like that the uncertainty,fear,joy
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,anger
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another",fear,sadness
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,anger
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,joy
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
A hearty Jonza! to all my friends and follower.,joy,joy
"It's #HobbitDay! \nHobbit's give gifts on their birthdays, so I'm sharing the gift of #glee today! Find something that makes you happy!",joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
Somebody who has braved the storm is brewing. #cheerful,joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness,joy
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,joy
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness,joy
Season 3 and Charlie is still a prick! #lost,sadness,anger
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
"Don't be disheartened if you didn't get the cards you wanted, it's not the end of the world......E-Eh...? Y-You want me to cheer you up?",sadness,fear
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
My life went from happy to unhappy..,sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
